"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","4","@api","24","0","","0"
"0","","0","Lesson 7 - API Testing with Different HTTP Methods","5","0","","0"
"0","","0","Quick Start Example","2","0","","0"
"0","","0","Lesson 1 - Basic Web Navigation","3","0","","0"
"0","","4","Lesson 5 - Advanced Interactions and Real Websites","1","0","","0"
"0","","2","Lesson 3 - Clicking and Interacting","2","0","","0"
"0","","0","Lesson 6 - Introduction to API Testing","4","0","","0"
"0","","2","Lesson 8 - Advanced API Testing and Authentication","3","0","","0"
"0","","0","Lesson 4 - Waiting and Timing","4","0","","0"
"0","","0","Lesson 2 - Finding Things on a Webpage","4","0","","0"
